          date  avg_price  total_sold  small_sold  large_sold    xl_sold  total_bags_sold  small_bags_sold  large_bags_sold  xl_bags_sold
32  2016-05-15       0.89   3.991e+07   1.245e+07   1.444e+07        NaN        1.128e+07        7.987e+06        3.143e+06     146047.01
33  2016-05-08       0.82   4.632e+07   1.422e+07   1.790e+07  1.994e+06        1.221e+07        8.748e+06        3.343e+06     120650.09
34  2016-05-01       0.84   4.287e+07   1.375e+07   1.590e+07  1.414e+06        1.180e+07        8.376e+06        3.366e+06      62734.87
35  2016-04-24       0.87   3.961e+07   1.291e+07   1.438e+07  1.600e+06        1.071e+07        7.836e+06        2.801e+06      75010.64
36  2016-04-17       0.90   3.747e+07         NaN   1.290e+07  1.896e+06        1.072e+07        8.129e+06        2.467e+06     125169.40
37  2016-04-10       0.90   3.658e+07   1.288e+07         NaN  1.666e+06        1.050e+07        7.809e+06        2.613e+06      77737.02
38  2016-04-03       0.94   3.367e+07   1.132e+07   1.151e+07  1.732e+06        9.103e+06        6.830e+06        2.213e+06      59188.81
39  2016-03-27       0.94   3.593e+07   1.125e+07   1.275e+07  1.880e+06        1.006e+07        7.745e+06        2.228e+06      82386.14
40  2016-03-20       0.93   3.634e+07         NaN   1.373e+07  1.773e+06        9.701e+06        7.249e+06        2.374e+06      77638.79
41  2016-03-13       0.93   3.637e+07   1.166e+07   1.310e+07  1.800e+06        9.808e+06        7.231e+06        2.521e+06      55589.00
42  2016-03-06       0.95   3.506e+07   1.182e+07   1.220e+07  1.686e+06        9.357e+06        7.503e+06        1.748e+06     106815.12
43  2016-02-28       0.91   3.680e+07   1.191e+07   1.321e+07  1.560e+06        1.012e+07        7.252e+06        2.802e+06      69494.92
44  2016-02-21       0.94   3.280e+07         NaN   1.200e+07  1.375e+06        9.410e+06        7.213e+06        2.151e+06      45654.02
45  2016-02-14       0.88   3.648e+07   1.191e+07   1.319e+07  1.811e+06        9.564e+06        7.102e+06        2.387e+06      74421.62
46  2016-02-07       0.76   5.229e+07   1.657e+07   2.047e+07  2.546e+06        1.270e+07        9.083e+06        3.373e+06     241661.48
47  2016-01-31       0.93   3.472e+07   1.110e+07   1.328e+07  1.644e+06        8.701e+06        6.685e+06        1.824e+06     192999.80
48  2016-01-24       0.95   3.279e+07   7.020e+06   1.405e+07  1.440e+06        1.027e+07        7.438e+06        2.668e+06     165014.74
49  2016-01-17       0.94   3.443e+07   1.004e+07   1.383e+07  1.419e+06        9.138e+06        6.846e+06        2.228e+06      63337.40
50  2016-01-10       0.93   3.526e+07         NaN   1.323e+07  1.283e+06        9.314e+06        6.735e+06        2.528e+06      50874.09
51  2016-01-03       0.86   3.814e+07         NaN   1.605e+07  1.560e+06        8.911e+06        6.465e+06        2.287e+06     159083.80
